circuit,seed,logical_qubits,logical_twoq_gates,transpiled_qubits,physical_qubits_used,transpiled_depth,twoq_depth,transpiled_size,twoq_gates,cx_gates,cz_gates,swap_gates,routing_overhead_twoq,circuit_duration_seconds,weighted_error_log_cost,independent_survival_proxy,twoq_calibration_errors_available,twoq_calibration_errors_missing,twoq_error_mean,twoq_error_max
P6_titan_pinnacle,12,62,3494,156,63,9969,4145,93233,24417,0,24417,0,20923,0.0003922519999999545,6662.947882622246,0.0,24417,0,0.01188425986316123,1.0
P6_titan_pinnacle,13,62,3494,156,62,10199,4283,93723,24553,0,24553,0,21059,0.00040470799999995266,13702.915156403851,0.0,24553,0,0.01988700674790182,1.0
P6_titan_pinnacle,14,62,3494,156,70,10430,4311,93759,24560,0,24560,0,21066,0.000408231999999952,10317.759704677159,0.0,24560,0,0.015876180132034956,1.0
P6_titan_pinnacle,15,62,3494,156,68,10633,4408,94160,24673,0,24673,0,21179,0.00041561999999995073,16353.274657912754,0.0,24673,0,0.02254531070178001,1.0
P6_titan_pinnacle,16,62,3494,156,73,11119,4609,94818,24922,0,24922,0,21428,0.00043562399999994716,8865.786391775271,0.0,24922,0,0.013907404976771452,1.0
P6_titan_pinnacle,17,62,3494,156,68,10418,4341,94184,24660,0,24660,0,21166,0.0004099799999999518,7280.4996068420305,0.0,24660,0,0.012330326907750986,1.0
P6_titan_pinnacle,18,62,3494,156,62,10411,4315,94095,24634,0,24634,0,21140,0.0004076639999999518,8592.766297023489,0.0,24634,0,0.013877328828131863,1.0
P6_titan_pinnacle,19,62,3494,156,62,10229,4213,94015,24616,0,24616,0,21122,0.0003989079999999538,10178.767644950452,0.0,24616,0,0.015644286675509527,1.0
P6_titan_pinnacle,20,62,3494,156,65,10677,4439,93887,24623,0,24623,0,21129,0.0004194799999999504,10526.602118057088,0.0,24623,0,0.016144789999960267,1.0
P6_titan_pinnacle,21,62,3494,156,63,10027,4170,93913,24569,0,24569,0,21075,0.0003938239999999544,7871.039751261308,0.0,24569,0,0.013204170815102211,1.0
P6_titan_pinnacle,22,62,3494,156,65,10235,4230,92752,24230,0,24230,0,20736,0.0003996319999999537,9764.940408410754,0.0,24230,0,0.015424308695419383,1.0
P6_titan_pinnacle,23,62,3494,156,64,9977,4160,92376,24182,0,24182,0,20688,0.0003933799999999552,9040.819824354441,0.0,24182,0,0.0146355881493026,1.0
P6_titan_pinnacle,24,62,3494,156,68,10741,4449,94260,24695,0,24695,0,21201,0.00042062799999994995,7489.557439825238,0.0,24695,0,0.012628825995628796,1.0
P6_titan_pinnacle,25,62,3494,156,68,10078,4225,93659,24554,0,24554,0,21060,0.0003980279999999535,7109.601142981444,0.0,24554,0,0.0122523011131198,1.0
P6_titan_pinnacle,26,62,3494,156,65,10384,4362,94085,24671,0,24671,0,21177,0.00041219599999995173,11497.049233091873,0.0,24671,0,0.017383708552424316,1.0
P6_titan_pinnacle,27,62,3494,156,73,9950,4169,94226,24656,0,24656,0,21162,0.00039315999999995445,10279.294782527653,0.0,24656,0,0.015616792329793733,1.0
P6_titan_pinnacle,28,62,3494,156,73,10539,4415,94127,24672,0,24672,0,21178,0.00041599999999995053,6447.163258932775,0.0,24672,0,0.011174401166029567,1.0
P6_titan_pinnacle,29,62,3494,156,69,10344,4292,94530,24782,0,24782,0,21288,0.0004058719999999527,10731.901242515607,0.0,24782,0,0.016205792028429356,1.0
P8_grid_888_iswap,0,40,888,156,40,2529,867,20741,4219,0,4219,0,3331,8.52879999999987e-05,15.23813617329112,2.410802013116354e-07,4219,0,0.003600914907548711,0.022548263773570387
P8_grid_888_iswap,1,40,888,156,45,2094,722,20576,4175,0,4175,0,3287,7.115599999999898e-05,14.682862310842914,4.200625068778146e-07,4175,0,0.0035061747747459114,0.022548263773570387
P8_grid_888_iswap,2,40,888,156,42,2168,756,20349,4125,0,4125,0,3237,7.430799999999892e-05,12.70860164493373,3.024993410189091e-06,4125,0,0.0030741781388677917,0.022548263773570387
P8_grid_888_iswap,3,40,888,156,40,2112,745,20244,4084,0,4084,0,3196,7.300799999999896e-05,13.03396469879919,2.1848471222477473e-06,4084,0,0.003183403493561888,0.022548263773570387
P8_grid_888_iswap,4,40,888,156,40,2211,800,20480,4141,0,4141,0,3253,7.792399999999887e-05,13.589718102216258,1.2533155198512092e-06,4141,0,0.003272175192049886,0.022548263773570387
P8_grid_888_iswap,5,40,888,156,40,2156,752,20651,4206,0,4206,0,3318,7.381999999999894e-05,13.952683755597823,8.71819216030092e-07,4206,0,0.0033074783795368004,0.022548263773570387
P8_grid_888_iswap,6,40,888,156,40,2096,727,20357,4123,0,4123,0,3235,7.139999999999898e-05,13.864932614615851,9.51779340114157e-07,4123,0,0.003353835854884406,0.022548263773570387
P8_grid_888_iswap,7,40,888,156,40,1987,690,20137,4052,0,4052,0,3164,6.773199999999906e-05,13.099041611932758,2.047191688728952e-06,4052,0,0.0032236607721554665,0.022548263773570387
P8_grid_888_iswap,8,40,888,156,41,2234,777,20573,4185,0,4185,0,3297,7.652799999999887e-05,14.407154406386168,5.534168032540842e-07,4185,0,0.003431384964495356,0.022548263773570387
P8_grid_888_iswap,9,40,888,156,40,2238,770,20140,4043,0,4043,0,3155,7.569599999999889e-05,13.490251913047143,1.384388664770363e-06,4043,0,0.003326378243234437,0.022548263773570387
P8_grid_888_iswap,10,40,888,156,43,2296,774,20880,4282,0,4282,0,3394,7.61119999999989e-05,14.859480279905164,3.5205434646292375e-07,4282,0,0.00345906892977391,0.022548263773570387
P8_grid_888_iswap,11,40,888,156,40,2208,759,20269,4089,0,4089,0,3201,7.453599999999891e-05,14.241387659712547,6.531966139098267e-07,4089,0,0.003472712753806614,0.022548263773570387
P8_grid_888_iswap,12,40,888,156,43,2045,723,20469,4132,0,4132,0,3244,7.0719999999999e-05,14.792597457170531,3.7640601193314756e-07,4132,0,0.00356903930791377,0.022548263773570387
P8_grid_888_iswap,13,40,888,156,40,2126,765,21165,4347,0,4347,0,3459,7.477999999999893e-05,14.247327510385082,6.493282237669418e-07,4347,0,0.0032677732031314486,0.022548263773570387
P8_grid_888_iswap,14,40,888,156,40,2131,743,20715,4216,0,4216,0,3328,7.301599999999895e-05,14.414255342068497,5.495009457091276e-07,4216,0,0.003408159256153004,0.022548263773570387
P8_grid_888_iswap,15,40,888,156,41,2303,806,20764,4230,0,4230,0,3342,7.888399999999885e-05,13.969285360977027,8.57465097827183e-07,4230,0,0.0032930933478561887,0.022548263773570387
P8_grid_888_iswap,16,40,888,156,40,2045,718,20111,4029,0,4029,0,3141,7.0595999999999e-05,13.391380510219944,1.5282603276696924e-06,4029,0,0.00331345274763142,0.022548263773570387
P8_grid_888_iswap,17,40,888,156,40,2053,709,20440,4119,0,4119,0,3231,6.979199999999901e-05,13.956998172845871,8.680659266175977e-07,4119,0,0.0033781605979541756,0.022548263773570387
P8_grid_888_iswap,18,40,888,156,49,2438,835,20736,4223,0,4223,0,3335,8.207999999999877e-05,14.422901356457864,5.447704321382833e-07,4223,0,0.003405841296300743,0.022548263773570387
P8_grid_888_iswap,19,40,888,156,40,2113,730,20691,4211,0,4211,0,3323,7.193999999999896e-05,14.293682728245088,6.199154567752382e-07,4211,0,0.0033835165169020937,0.022548263773570387
P8_grid_888_iswap,20,40,888,156,40,2276,777,20913,4273,0,4273,0,3385,7.647999999999887e-05,14.481744690587849,5.13639237448305e-07,4273,0,0.003378370512858185,0.022548263773570387
P8_grid_888_iswap,21,40,888,156,40,2308,810,20669,4191,0,4191,0,3303,7.947199999999881e-05,13.971526888814243,8.555452184763282e-07,4191,0,0.0033233527412248436,0.022548263773570387
P8_grid_888_iswap,22,40,888,156,40,2140,746,20493,4161,0,4161,0,3273,7.333999999999894e-05,13.432381811441,1.4668668719216386e-06,4161,0,0.0032194848180175494,0.022548263773570387
P8_grid_888_iswap,23,40,888,156,40,2130,741,19873,3956,0,3956,0,3068,7.275999999999894e-05,12.234386372470498,4.860416751112922e-06,3956,0,0.0030849488553018516,0.022548263773570387
P8_grid_888_iswap,24,40,888,156,40,2427,842,20988,4291,0,4291,0,3403,8.253199999999878e-05,14.375196012128324,5.713887635417189e-07,4291,0,0.0033394209655344983,0.022548263773570387
P8_grid_888_iswap,25,40,888,156,40,2210,758,20053,4014,0,4014,0,3126,7.453999999999892e-05,13.294913235249076,1.683032663150442e-06,4014,0,0.0033023569435765275,0.022548263773570387
P8_grid_888_iswap,26,40,888,156,43,2042,694,20546,4180,0,4180,0,3292,6.862799999999903e-05,14.234396730363486,6.577790644193999e-07,4180,0,0.003395232972260146,0.022548263773570387
P8_grid_888_iswap,27,40,888,156,41,2164,759,20740,4226,0,4226,0,3338,7.446399999999893e-05,14.339742428061026,5.920099302921018e-07,4226,0,0.0033839505622258047,0.022548263773570387
P8_grid_888_iswap,28,40,888,156,41,2305,798,20183,4062,0,4062,0,3174,7.826799999999885e-05,13.125490062305195,1.9937563961757078e-06,4062,0,0.003221921617212755,0.022548263773570387
P8_grid_888_iswap,29,40,888,156,44,2106,723,20483,4148,0,4148,0,3260,7.122399999999898e-05,14.392353073238734,5.616690310576472e-07,4148,0,0.0034591922478082247,0.022548263773570387
