model,shots,error_rate,seed,method,unique_strings,exact_recovery,correct_bits,percentage_correct,hamming_distance,runtime_seconds,bootstrap_exact_stability,bootstrap_stable_bits
independent,2000,0.01,12350,most_frequent,608,True,98,100.0,0,0.003587250001146458,1.0,98
independent,2000,0.01,12350,bitwise_majority,608,True,98,100.0,0,0.0035314580018166453,1.0,98
independent,2000,0.01,12350,weighted_observed_medoid,608,True,98,100.0,0,0.007392457999230828,1.0,98
independent,2000,0.01,12350,cluster_consensus,608,True,98,100.0,0,0.006393790998117765,1.0,98
independent,50,0.03,12351,most_frequent,48,False,97,98.9795918367347,1,0.00029362500208662823,0.1,80
independent,50,0.03,12351,bitwise_majority,48,True,98,100.0,0,0.00035637499968288466,1.0,98
independent,50,0.03,12351,weighted_observed_medoid,48,True,98,100.0,0,0.0006279579974943772,1.0,98
independent,50,0.03,12351,cluster_consensus,48,True,98,100.0,0,0.0006171669992909301,1.0,98
independent,100,0.03,12352,most_frequent,95,True,98,100.0,0,0.000584834000619594,0.4,76
independent,100,0.03,12352,bitwise_majority,95,True,98,100.0,0,0.0006152079986350145,1.0,98
independent,100,0.03,12352,weighted_observed_medoid,95,True,98,100.0,0,0.001404707996698562,1.0,98
independent,100,0.03,12352,cluster_consensus,95,True,98,100.0,0,0.0010326250012440141,1.0,98
independent,250,0.03,12353,most_frequent,233,True,98,100.0,0,0.0013773749997199047,0.9,97
independent,250,0.03,12353,bitwise_majority,233,True,98,100.0,0,0.001421249999111751,1.0,98
independent,250,0.03,12353,weighted_observed_medoid,233,True,98,100.0,0,0.0047644999976910185,1.0,98
independent,250,0.03,12353,cluster_consensus,233,True,98,100.0,0,0.003114832998107886,1.0,98
independent,500,0.03,12354,most_frequent,460,True,98,100.0,0,0.0026909169973805547,1.0,98
independent,500,0.03,12354,bitwise_majority,460,True,98,100.0,0,0.002764875000139,1.0,98
independent,500,0.03,12354,weighted_observed_medoid,460,True,98,100.0,0,0.005781207997642923,1.0,98
independent,500,0.03,12354,cluster_consensus,460,True,98,100.0,0,0.005290042001433903,1.0,98
independent,1000,0.03,12355,most_frequent,886,True,98,100.0,0,0.0052320830000098795,1.0,98
independent,1000,0.03,12355,bitwise_majority,886,True,98,100.0,0,0.005193166998651577,1.0,98
independent,1000,0.03,12355,weighted_observed_medoid,886,True,98,100.0,0,0.010332459001801908,1.0,98
independent,1000,0.03,12355,cluster_consensus,886,True,98,100.0,0,0.008267832999990787,1.0,98
independent,2000,0.03,12356,most_frequent,1658,True,98,100.0,0,0.010268292000546353,1.0,98
independent,2000,0.03,12356,bitwise_majority,1658,True,98,100.0,0,0.009593208000296727,1.0,98
independent,2000,0.03,12356,weighted_observed_medoid,1658,True,98,100.0,0,0.01857995899990783,1.0,98
independent,2000,0.03,12356,cluster_consensus,1658,True,98,100.0,0,0.012695041001279606,1.0,98
independent,50,0.05,12357,most_frequent,50,False,89,90.81632653061224,9,0.00030462499853456393,0.0,63
independent,50,0.05,12357,bitwise_majority,50,True,98,100.0,0,0.0003529169989633374,1.0,98
independent,50,0.05,12357,weighted_observed_medoid,50,False,96,97.95918367346938,2,0.0006446250008593779,0.7,88
independent,50,0.05,12357,cluster_consensus,50,True,98,100.0,0,0.0006111250004323665,1.0,98
independent,100,0.05,12358,most_frequent,100,False,94,95.91836734693878,4,0.0005865829989488702,0.0,58
independent,100,0.05,12358,bitwise_majority,100,True,98,100.0,0,0.0006251249978959095,1.0,98
independent,100,0.05,12358,weighted_observed_medoid,100,False,97,98.9795918367347,1,0.001475666998885572,0.4,94
independent,100,0.05,12358,cluster_consensus,100,True,98,100.0,0,0.0010556670022197068,1.0,98
independent,250,0.05,12359,most_frequent,249,False,97,98.9795918367347,1,0.001486417000705842,0.1,61
independent,250,0.05,12359,bitwise_majority,249,True,98,100.0,0,0.0015055830008350313,1.0,98
independent,250,0.05,12359,weighted_observed_medoid,249,True,98,100.0,0,0.005121166999742854,0.8,96
independent,250,0.05,12359,cluster_consensus,249,True,98,100.0,0,0.0033090420001826715,1.0,98
independent,500,0.05,12360,most_frequent,500,False,94,95.91836734693878,4,0.0029429589994833805,0.0,55
independent,500,0.05,12360,bitwise_majority,500,True,98,100.0,0,0.002932457999122562,1.0,98
independent,500,0.05,12360,weighted_observed_medoid,500,False,97,98.9795918367347,1,0.006149749999167398,0.1,92
independent,500,0.05,12360,cluster_consensus,500,True,98,100.0,0,0.005498624999745516,1.0,98
independent,1000,0.05,12361,most_frequent,987,True,98,100.0,0,0.00578312500147149,0.9,95
independent,1000,0.05,12361,bitwise_majority,987,True,98,100.0,0,0.005736957999033621,1.0,98
independent,1000,0.05,12361,weighted_observed_medoid,987,True,98,100.0,0,0.011237333001190564,1.0,98
independent,1000,0.05,12361,cluster_consensus,987,True,98,100.0,0,0.008308999997097999,1.0,98
independent,2000,0.05,12362,most_frequent,1967,True,98,100.0,0,0.011954499997955281,1.0,98
independent,2000,0.05,12362,bitwise_majority,1967,True,98,100.0,0,0.011490999997477047,1.0,98
independent,2000,0.05,12362,weighted_observed_medoid,1967,True,98,100.0,0,0.021949124999082414,1.0,98
independent,2000,0.05,12362,cluster_consensus,1967,True,98,100.0,0,0.014610624999477295,1.0,98
independent,50,0.1,12363,most_frequent,50,False,90,91.83673469387755,8,0.00030708299891557544,0.0,38
independent,50,0.1,12363,bitwise_majority,50,True,98,100.0,0,0.00035149999894201756,1.0,98
independent,50,0.1,12363,weighted_observed_medoid,50,False,93,94.89795918367346,5,0.0006385829983628355,0.5,78
independent,50,0.1,12363,cluster_consensus,50,True,98,100.0,0,0.000632499999483116,1.0,98
independent,100,0.1,12364,most_frequent,100,False,85,86.73469387755102,13,0.0005967500001133885,0.0,32
independent,100,0.1,12364,bitwise_majority,100,True,98,100.0,0,0.0006410829992091749,1.0,98
independent,100,0.1,12364,weighted_observed_medoid,100,False,95,96.93877551020408,3,0.0014862089992675465,0.4,83
independent,100,0.1,12364,cluster_consensus,100,True,98,100.0,0,0.0011675000023387838,1.0,98
independent,250,0.1,12365,most_frequent,250,False,75,76.53061224489795,23,0.0014816250004514586,0.0,34
independent,250,0.1,12365,bitwise_majority,250,True,98,100.0,0,0.0014974170007917564,1.0,98
independent,250,0.1,12365,weighted_observed_medoid,250,False,97,98.9795918367347,1,0.005206625002756482,0.6,88
independent,250,0.1,12365,cluster_consensus,250,True,98,100.0,0,0.003434624999499647,1.0,98
independent,500,0.1,12366,most_frequent,500,False,88,89.79591836734694,10,0.002946333999716444,0.0,34
independent,500,0.1,12366,bitwise_majority,500,True,98,100.0,0,0.0029425840002659243,1.0,98
independent,500,0.1,12366,weighted_observed_medoid,500,False,93,94.89795918367346,5,0.006161999997857492,0.0,80
independent,500,0.1,12366,cluster_consensus,500,True,98,100.0,0,0.005632583000988234,1.0,98
independent,1000,0.1,12367,most_frequent,1000,False,86,87.75510204081633,12,0.005920374998822808,0.0,32
independent,1000,0.1,12367,bitwise_majority,1000,True,98,100.0,0,0.005855415998667013,1.0,98
independent,1000,0.1,12367,weighted_observed_medoid,1000,False,93,94.89795918367346,5,0.011512832999869715,0.0,80
independent,1000,0.1,12367,cluster_consensus,1000,True,98,100.0,0,0.008676874997036066,1.0,98
independent,2000,0.1,12368,most_frequent,2000,False,85,86.73469387755102,13,0.012122874999477062,0.0,30
independent,2000,0.1,12368,bitwise_majority,2000,True,98,100.0,0,0.011793207999289734,1.0,98
independent,2000,0.1,12368,weighted_observed_medoid,2000,False,94,95.91836734693878,4,0.022223874999326654,0.0,76
independent,2000,0.1,12368,cluster_consensus,2000,False,97,98.9795918367347,1,0.014748834000783972,0.0,98
independent,50,0.2,12369,most_frequent,50,False,76,77.55102040816327,22,0.00031474999923375435,0.0,15
independent,50,0.2,12369,bitwise_majority,50,True,98,100.0,0,0.0003644579992396757,1.0,98
independent,50,0.2,12369,weighted_observed_medoid,50,False,87,88.77551020408163,11,0.0006494169974757824,0.7,59
independent,50,0.2,12369,cluster_consensus,50,False,73,74.48979591836735,25,0.0007070840001688339,0.0,7
independent,100,0.2,12370,most_frequent,100,False,74,75.51020408163265,24,0.0006062500033294782,0.2,16
independent,100,0.2,12370,bitwise_majority,100,True,98,100.0,0,0.0006529579986818135,1.0,98
independent,100,0.2,12370,weighted_observed_medoid,100,False,87,88.77551020408163,11,0.0014989169976615813,0.5,65
independent,100,0.2,12370,cluster_consensus,100,False,73,74.48979591836735,25,0.0012346249968686607,0.0,13
independent,250,0.2,12371,most_frequent,250,False,81,82.65306122448979,17,0.001491292001446709,0.0,12
independent,250,0.2,12371,bitwise_majority,250,True,98,100.0,0,0.0015373330024885945,1.0,98
independent,250,0.2,12371,weighted_observed_medoid,250,False,90,91.83673469387755,8,0.005281290999846533,0.7,82
independent,250,0.2,12371,cluster_consensus,250,False,82,83.6734693877551,16,0.003650582999398466,0.0,10
independent,500,0.2,12372,most_frequent,500,False,69,70.40816326530613,29,0.0031194580005831085,0.0,14
independent,500,0.2,12372,bitwise_majority,500,True,98,100.0,0,0.0029915000013716053,1.0,98
independent,500,0.2,12372,weighted_observed_medoid,500,False,89,90.81632653061224,9,0.0061569999998027924,0.3,61
independent,500,0.2,12372,cluster_consensus,500,False,82,83.6734693877551,16,0.0059782079988508485,0.0,14
independent,1000,0.2,12373,most_frequent,1000,False,76,77.55102040816327,22,0.006056417001673253,0.0,13
independent,1000,0.2,12373,bitwise_majority,1000,True,98,100.0,0,0.006301208999502705,1.0,98
independent,1000,0.2,12373,weighted_observed_medoid,1000,False,87,88.77551020408163,11,0.012504709000495495,0.0,42
independent,1000,0.2,12373,cluster_consensus,1000,False,84,85.71428571428571,14,0.010059291998913977,0.0,15
independent,2000,0.2,12374,most_frequent,2000,False,74,75.51020408163265,24,0.012592583003424807,0.0,9
independent,2000,0.2,12374,bitwise_majority,2000,True,98,100.0,0,0.011956082998949569,1.0,98
independent,2000,0.2,12374,weighted_observed_medoid,2000,False,87,88.77551020408163,11,0.022482666001451435,0.0,36
independent,2000,0.2,12374,cluster_consensus,2000,False,89,90.81632653061224,9,0.015253999998094514,0.0,10
asymmetric,50,,12375,most_frequent,50,False,91,92.85714285714286,7,0.0004917089972877875,0.0,62
asymmetric,50,,12375,bitwise_majority,50,True,98,100.0,0,0.0006222919982974418,1.0,98
asymmetric,50,,12375,weighted_observed_medoid,50,True,98,100.0,0,0.0012336250001681037,0.9,97
asymmetric,50,,12375,cluster_consensus,50,True,98,100.0,0,0.0013351249981496949,1.0,98
asymmetric,100,,12376,most_frequent,100,False,94,95.91836734693878,4,0.0005954999978712294,0.0,71
asymmetric,100,,12376,bitwise_majority,100,True,98,100.0,0,0.0006585840019397438,1.0,98
asymmetric,100,,12376,weighted_observed_medoid,100,True,98,100.0,0,0.00150483299876214,0.7,95
asymmetric,100,,12376,cluster_consensus,100,True,98,100.0,0,0.0011764169976231642,1.0,98
asymmetric,250,,12377,most_frequent,247,True,98,100.0,0,0.0014800419994571712,0.2,67
asymmetric,250,,12377,bitwise_majority,247,True,98,100.0,0,0.0015451670005859341,1.0,98
asymmetric,250,,12377,weighted_observed_medoid,247,True,98,100.0,0,0.005593750000116415,1.0,98
asymmetric,250,,12377,cluster_consensus,247,True,98,100.0,0,0.0035165420013072435,1.0,98
asymmetric,500,,12378,most_frequent,493,True,98,100.0,0,0.0032968749983410817,0.8,89
asymmetric,500,,12378,bitwise_majority,493,True,98,100.0,0,0.003407249998417683,1.0,98
asymmetric,500,,12378,weighted_observed_medoid,493,True,98,100.0,0,0.00688191600056598,1.0,98
asymmetric,500,,12378,cluster_consensus,493,True,98,100.0,0,0.0063253750013245735,1.0,98
asymmetric,1000,,12379,most_frequent,975,True,98,100.0,0,0.00588387499738019,1.0,98
asymmetric,1000,,12379,bitwise_majority,975,True,98,100.0,0,0.00632154200138757,1.0,98
asymmetric,1000,,12379,weighted_observed_medoid,975,True,98,100.0,0,0.01179858300019987,1.0,98
asymmetric,1000,,12379,cluster_consensus,975,True,98,100.0,0,0.008858208002493484,1.0,98
asymmetric,2000,,12380,most_frequent,1932,True,98,100.0,0,0.012335792001977097,1.0,98
asymmetric,2000,,12380,bitwise_majority,1932,True,98,100.0,0,0.012290875001781387,1.0,98
asymmetric,2000,,12380,weighted_observed_medoid,1932,True,98,100.0,0,0.02358749999984866,1.0,98
asymmetric,2000,,12380,cluster_consensus,1932,True,98,100.0,0,0.014979208997829119,1.0,98
mixture,50,,12381,most_frequent,50,False,43,43.87755102040816,55,0.00032049999936134554,0.0,13
mixture,50,,12381,bitwise_majority,50,True,98,100.0,0,0.0003730830030690413,1.0,98
mixture,50,,12381,weighted_observed_medoid,50,True,98,100.0,0,0.0006541670009028167,0.6,93
mixture,50,,12381,cluster_consensus,50,True,98,100.0,0,0.001200667000375688,1.0,98
mixture,100,,12382,most_frequent,95,False,40,40.816326530612244,58,0.0005809159993077628,0.5,34
mixture,100,,12382,bitwise_majority,95,True,98,100.0,0,0.0006453330024669413,0.9,97
mixture,100,,12382,weighted_observed_medoid,95,True,98,100.0,0,0.0014201670019247103,1.0,98
mixture,100,,12382,cluster_consensus,95,True,98,100.0,0,0.0012380420012050308,1.0,98
mixture,250,,12383,most_frequent,242,True,98,100.0,0,0.001461667001422029,1.0,98
mixture,250,,12383,bitwise_majority,242,True,98,100.0,0,0.001525915999081917,1.0,98
mixture,250,,12383,weighted_observed_medoid,242,True,98,100.0,0,0.005417791999207111,1.0,98
mixture,250,,12383,cluster_consensus,242,True,98,100.0,0,0.00337562500135391,1.0,98
mixture,500,,12384,most_frequent,466,True,98,100.0,0,0.0029640419998031575,1.0,98
mixture,500,,12384,bitwise_majority,466,True,98,100.0,0,0.0028616660019906703,1.0,98
mixture,500,,12384,weighted_observed_medoid,466,True,98,100.0,0,0.006368499998643529,1.0,98
mixture,500,,12384,cluster_consensus,466,True,98,100.0,0,0.005581334000453353,1.0,98
mixture,1000,,12385,most_frequent,905,True,98,100.0,0,0.0060028750012861565,1.0,98
mixture,1000,,12385,bitwise_majority,905,True,98,100.0,0,0.005952375002379995,1.0,98
mixture,1000,,12385,weighted_observed_medoid,905,True,98,100.0,0,0.010841833001904888,1.0,98
mixture,1000,,12385,cluster_consensus,905,False,40,40.816326530612244,58,0.008663332999276463,0.0,98
mixture,2000,,12386,most_frequent,1787,True,98,100.0,0,0.010977041001751786,1.0,98
mixture,2000,,12386,bitwise_majority,1787,True,98,100.0,0,0.010875125000893604,1.0,98
mixture,2000,,12386,weighted_observed_medoid,1787,True,98,100.0,0,0.02042375000019092,1.0,98
mixture,2000,,12386,cluster_consensus,1787,True,98,100.0,0,0.013720000002649613,1.0,98
